received,dev_id,dev_eui,gtw_id,counter,frequency,data_rate,coding_rate,rssi,snr,battery
2019-04-16T12:56:48.319641Z,static_6_03,70B3D549972EC2DC,eui-0000024b08030186,1993,868.3,SF7BW125,4/5,-99,8.8,4.04
2019-04-16T12:56:48.311889311Z,static_6_03,70B3D549972EC2DC,iotlab-rpi-03,1993,868.3,SF7BW125,4/5,-103,-1.25,4.04
2019-04-16T13:04:39.711453Z,static_7_01,70B3D5499B418279,eui-0000024b08030186,1998,868.1,SF8BW125,4/5,-87,11,4.074
2019-04-16T13:04:39.7001677Z,static_7_01,70B3D5499B418279,iotlab-rpi-03,1998,868.1,SF8BW125,4/5,-106,-2.5,4.074
2019-04-16T13:05:17.648551Z,static_7_02,70B3D5499A21273B,eui-0000024b08030186,1880,867.1,SF8BW125,4/5,-94,11.2,4.054
2019-04-16T13:06:55.636611Z,static_6_03,70B3D549972EC2DC,eui-0000024b08030186,1994,868.1,SF8BW125,4/5,-108,5.5,4.04
2019-04-16T13:06:55.631571631Z,static_6_03,70B3D549972EC2DC,iotlab-rpi-03,1994,868.1,SF8BW125,4/5,-104,-3.5,4.04
2019-04-16T13:10:29.826688Z,mobile-03,70B3D5499023C3A9,eui-0000024b08030186,3033,868.5,SF7BW125,4/5,-87,8,
2019-04-16T13:10:29.823531823Z,mobile-03,70B3D5499023C3A9,iotlab-rpi-03,3033,868.5,SF7BW125,4/5,-28,6.5,
2019-04-16T13:14:45.863135Z,static_7_01,70B3D5499B418279,eui-0000024b08030186,1999,867.5,SF7BW125,4/5,-89,8,4.07
2019-04-16T13:14:45.859503859Z,static_7_01,70B3D5499B418279,iotlab-rpi-03,1999,867.5,SF7BW125,4/5,-106,-7,4.07
